id,seller,price,area_total,area_kitchen,area_living,floor,rooms,layout,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id
0,3,7139520,59.2,12.5,31,2,2,,2.65,0,2,0,1,,,,1,4076
1,,10500000,88,14.2,48,18,3,1,,2,0,1,1,1,0,3,1,1893
2,3,9019650,78.5,22.5,40.8,12,3,,2.65,0,2,1,1,,,,1,5176
3,,10500000,88,14,48,18,3,,,0,2,1,1,0,1,2,1,1893
4,,13900000,78,17,35,7,2,1,2.9,1,0,1,1,0,1,3,1,6604
5,3,5464800,36,5.8,21.6,1,2,,2.65,1,0,0,1,,,,1,4162
6,,7100000,38.5,7.4,18.9,17,1,,,1,0,1,0,0,1,2,1,7737
7,,5950000,37.6,9.8,19,16,1,,,1,0,1,0,1,0,2,1,4904
8,,8700000,106.9,12.8,67.9,21,3,1,2.8,2,0,1,0,0,1,0,1,5100
9,,10990000,63.6,10.4,32.5,7,2,1,,0,1,1,0,0,1,2,1,5287
10,,13650000,71,14,37,1,2,1,,0,1,1,0,1,0,2,1,28
11,,15700000,90.5,13.1,55,11,3,,,1,1,1,1,0,1,0,1,5966
12,3,4045140,19.8,5.2,9.6,17,1,,2.65,1,0,1,0,,,,1,4076
13,,5000000,24,,16,5,1,,,1,0,,,,,,2,1976
14,,5400000,32.3,8.2,14.3,4,1,,,0,1,,,1,0,0,1,7496
15,,5470000,23,,,7,1,,,0,1,,,1,0,1,1,8427
16,,5950000,37,6,26,7,2,,,0,1,,,1,0,1,1,4714
17,,6170000,42.2,7.2,19,8,1,,,0,1,,,1,0,1,1,6176
18,,6150000,40,7.5,19.1,2,1,,2.74,1,0,1,0,0,1,0,1,9472
19,,7200000,60,16,30,6,2,,,0,2,,,1,0,0,1,7496
20,,7600000,60,,,3,2,,,1,0,,,1,0,0,1,6300
21,,9200000,68,10,42.5,17,3,2,2.85,0,1,1,0,0,1,3,2,1975
22,3,11960000,119.6,20.5,62.1,9,4,,2.65,0,3,1,1,,,,1,5751
23,,13500000,63,12,,2,2,,,1,0,,,0,1,3,1,8544
24,,13650000,70,,,1,2,,,0,1,,,1,0,2,1,28
25,,15850000,83.2,,,15,3,,,0,2,,,1,0,2,1,1119
26,,16900000,104,,,10,4,,,0,1,,,1,0,2,1,6604
27,3,3910450,19.7,5.1,9.7,2,1,,2.65,1,0,1,0,,,,1,4162
28,3,4237740,23.4,6.1,11.3,12,1,,2.65,1,0,1,0,,,,1,5033
29,,4450000,50.2,11,35,1,2,1,3,1,1,1,0,,,0,1,7904
30,,4500000,27,5,15,19,1,,,,,,,,,,1,3235
31,3,4568400,27,6.9,12.7,10,1,,2.65,1,0,1,0,,,,1,4162
32,,34999000,73,,,20,2,,,,,,,,,2,2,2401
33,3,5197920,33.6,10.7,11.5,6,1,,2.65,1,0,1,0,,,,1,5751
34,,5150000,22.8,3.1,13.3,4,1,,,1,0,1,0,,,2,1,8427
35,,5250000,23.2,,,9,1,,2.7,1,0,0,1,,,3,2,8427
36,,5350000,36.2,10,14,7,1,,,1,0,1,1,1,0,0,1,8631
37,,5537000,44,11,16,1,1,,,1,0,1,0,,,,1,1489
38,3,5541250,32.5,6,14.7,1,1,,2.65,1,0,1,0,,,,1,4028
39,3,5674920,39.3,18.1,11.1,8,1,,2.65,1,0,1,0,,,,1,5751
40,3,6035600,39.5,19.6,11.2,15,1,,2.65,1,0,1,0,,,,1,4162
41,,6150000,42.3,16.1,15.1,5,1,,,0,1,1,1,,,,2,3092
42,,6800000,51,9,31,4,2,1,,0,1,1,0,0,1,2,2,3688
43,,6950000,48.1,10.9,25.4,13,2,,,1,1,0,1,,,,1,2728
44,3,7304760,59.1,20.8,23,7,2,,2.65,0,2,0,1,,,,1,5751
45,,7399990,56,10,20.15,12,2,1,,0,1,,,0,1,1,1,7731
46,3,7801000,72.5,12.6,41.9,2,3,,2.65,0,2,1,1,,,,1,4162
47,,8100000,56.2,12,28,15,2,1,2.75,0,1,1,1,0,1,1,1,8476
48,,8390000,47,23,23.13,10,2,,3,0,1,1,1,1,0,3,1,5785
49,3,8540500,72.5,12.6,42,14,3,,2.65,0,2,1,1,,,,1,5751
50,,8850000,43,19,19,10,1,,3.05,1,0,1,0,0,1,3,1,5966
51,3,8878350,78.5,22.5,40.8,11,3,,2.65,0,2,1,1,,,,1,5751
52,,8800000,67,12,34,10,3,,,,,1,0,,,,2,5000
53,,8800000,62.3,,,7,2,,,0,1,,,0,1,,1,7549
54,,9190000,58.7,11,37,3,2,1,,1,0,0,1,,,2,1,589
55,3,9500240,79.7,17,41.5,9,3,,2.65,0,2,1,1,,,,1,4076
56,,9800000,70.4,7,57,1,3,1,2.8,0,1,1,0,,,1,1,3766
57,,11000000,57.5,22,26,6,3,1,,1,0,1,1,,,2,1,4410
58,,11200000,56.4,,,9,2,2,2.8,1,0,1,1,,,3,1,9115
59,,12300000,94.2,12,48,9,3,1,2.85,1,1,1,1,0,2,1,1,5993
60,3,13414421,103.1,,52.9,2,4,,,,,,,1,0,,1,5397
61,,13500000,80,13,45,12,3,1,2.74,0,1,1,0,1,1,3,1,4560
62,,13800000,78.6,10.7,40.1,10,3,1,,2,0,1,1,0,1,3,1,1095
63,3,13940619,104.9,,54,13,4,,,,,,,1,0,,1,2625
64,,15700000,94.6,14,60.7,5,3,1,,,,,,1,0,,2,2573
65,,16950000,108.84,10.7,59.3,21,4,,,,,,,,,,0,1095
66,3,6065820,42.3,16,15.3,12,1,,2.65,0,1,1,0,,,,1,5176
67,3,7611760,56.3,21.1,21,22,2,,2.65,0,2,0,1,,,,1,8281
68,3,7290630,53.1,18.8,20.3,9,2,,2.65,0,2,0,1,1,0,,1,4162
69,3,5496290,35.9,17,10.1,12,1,,2.65,1,0,1,0,,,,1,5033
70,1,8900000,62.2,12.8,32.2,8,2,,2.7,0,2,1,0,,,3,2,138
71,3,6120810,42.3,16,15.2,15,1,,2.65,0,1,1,0,,,,1,7411
72,2,1990000,22.2,,20,1,1,,,1,0,0,1,,,0,2,7769
73,2,2590000,18.5,,16.5,2,1,,3.1,1,0,1,0,,,0,2,2379
74,3,4291560,25.2,6,12.3,8,1,,2.65,1,0,1,0,,,,1,5033
75,2,6740000,35,10,16,4,1,,3,1,0,1,0,1,0,2,1,1050
